dep_name,timestamp,cr_timestamp,time_window,container_name,cpu_use,mem_use
cassdb01-cassandra-2,2024-12-10T00:37:02Z,2024-12-10T00:37:12Z,12.275s,cassandra,326157287n,1764788Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:02Z,2024-12-10T00:37:12Z,12.274s,rabbitmq,42823390n,157752Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:02Z,2024-12-10T00:37:12Z,12.275s,master,74273368n,28056Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:02Z,2024-12-10T00:37:12Z,12.273s,workerchar,76794394n,22144Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:02Z,2024-12-10T00:37:12Z,12.273s,workerdb,101841220n,25784Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:02Z,2024-12-10T00:37:12Z,12.274s,workerroll,59377n,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.99s,cassandra,357613482n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.991s,cassandra,243622520n,1741212Ki
cassdb01-cassandra-2,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.991s,cassandra,278276419n,1764912Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.99s,rabbitmq,40304803n,159696Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.988s,master,72086055n,28304Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.99s,workerchar,73536677n,22160Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.991s,workerdb,100082969n,26052Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:17Z,2024-12-10T00:37:17Z,14.99s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.99s,cassandra,357613482n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.991s,cassandra,243622520n,1741212Ki
cassdb01-cassandra-2,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.991s,cassandra,278276419n,1764912Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.99s,rabbitmq,40304803n,159696Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.988s,master,72086055n,28304Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.99s,workerchar,73536677n,22160Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.991s,workerdb,100082969n,26052Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:17Z,2024-12-10T00:37:19Z,14.99s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.99s,cassandra,357613482n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.991s,cassandra,243622520n,1741212Ki
cassdb01-cassandra-2,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.991s,cassandra,278276419n,1764912Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.99s,rabbitmq,40304803n,159696Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.988s,master,72086055n,28304Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.99s,workerchar,73536677n,22160Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.991s,workerdb,100082969n,26052Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:17Z,2024-12-10T00:37:24Z,14.99s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.28s,cassandra,181213249n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.281s,cassandra,310186263n,1741184Ki
cassdb01-cassandra-2,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.28s,cassandra,326852149n,1764996Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.282s,rabbitmq,55774841n,162796Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.283s,master,80531156n,28460Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.282s,workerchar,90644520n,22132Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.28s,workerdb,122140684n,26284Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:29Z,2024-12-10T00:37:30Z,12.281s,workerroll,57902n,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.28s,cassandra,181213249n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.281s,cassandra,310186263n,1741184Ki
cassdb01-cassandra-2,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.28s,cassandra,326852149n,1764996Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.282s,rabbitmq,55774841n,162796Ki
