status,cmd_match,total_time,end_time
True,True,0.0472564697265625,2024-12-09T17:36:59.072561
True,True,0.06984257698059082,2024-12-09T17:36:59.143595
True,True,0.016039609909057617,2024-12-09T17:36:59.161113
True,True,0.08152651786804199,2024-12-09T17:36:59.243930
True,True,0.014486312866210938,2024-12-09T17:36:59.259661
True,True,0.013889551162719727,2024-12-09T17:36:59.274698
True,True,0.07452964782714844,2024-12-09T17:36:59.350414
True,True,0.01436614990234375,2024-12-09T17:36:59.365871
True,True,0.0842905044555664,2024-12-09T17:36:59.451224
True,True,0.015621662139892578,2024-12-09T17:36:59.468014
True,True,0.07826471328735352,2024-12-09T17:36:59.547386
True,True,0.01622176170349121,2024-12-09T17:36:59.564763
True,True,0.07869529724121094,2024-12-09T17:36:59.644524
True,True,0.015590429306030273,2024-12-09T17:36:59.661216
True,True,0.07758975028991699,2024-12-09T17:36:59.739889
True,True,0.018112897872924805,2024-12-09T17:36:59.759273
True,True,0.08150768280029297,2024-12-09T17:36:59.841832
True,True,0.013712644577026367,2024-12-09T17:36:59.856752
True,True,0.08407163619995117,2024-12-09T17:36:59.941957
True,True,0.01929187774658203,2024-12-09T17:36:59.962501
True,True,0.08127737045288086,2024-12-09T17:37:00.044989
True,True,0.017041921615600586,2024-12-09T17:37:00.063824
True,True,0.07946252822875977,2024-12-09T17:37:00.144475
True,True,0.016026973724365234,2024-12-09T17:37:00.161703
True,True,0.08503079414367676,2024-12-09T17:37:00.247951
True,True,0.020613431930541992,2024-12-09T17:37:00.270018
True,True,0.08225178718566895,2024-12-09T17:37:00.353614
True,True,0.0910947322845459,2024-12-09T17:37:00.445969
True,True,0.01803755760192871,2024-12-09T17:37:00.465345
True,True,0.08481359481811523,2024-12-09T17:37:00.551443
True,True,0.09632182121276855,2024-12-09T17:37:00.648967
True,True,0.019654512405395508,2024-12-09T17:37:00.669806
True,True,0.07313299179077148,2024-12-09T17:37:00.744394
True,True,0.014552593231201172,2024-12-09T17:37:00.760094
True,True,0.08923602104187012,2024-12-09T17:37:00.850684
True,True,0.08811330795288086,2024-12-09T17:37:00.940205
True,True,0.01589655876159668,2024-12-09T17:37:00.957368
