status,cmd_match,total_time
True,True,0.05231285095214844
True,True,0.01788640022277832
True,True,0.015665054321289062
True,True,0.014960765838623047
True,True,0.014310598373413086
True,True,0.016038179397583008
True,True,0.0168607234954834
True,True,0.015743494033813477
True,True,0.01665210723876953
True,True,0.014801502227783203
True,True,0.014675378799438477
True,True,0.02055072784423828
True,True,0.01912999153137207
True,True,0.023453474044799805
True,True,0.015602350234985352
True,True,0.015717029571533203
True,True,0.016170024871826172
True,True,0.0256502628326416
True,True,0.05570626258850098
True,True,0.0199124813079834
True,True,0.016048908233642578
True,True,0.01807117462158203
True,True,0.03972482681274414
True,True,0.01741623878479004
True,True,0.015200614929199219
True,True,0.014390230178833008
True,True,0.017977237701416016
True,True,0.04592275619506836
True,True,0.03740215301513672
True,True,0.05135154724121094
True,True,0.019358396530151367
True,True,0.016806364059448242
True,True,0.015050411224365234
